player_id,nom,équipe,position,taille,poids,expérience (années),âge
202066,Garrett Temple,Raptors,Guard-Forward,6-5,195,14,39
1631207,Dalen Terry,Bulls,Forward,6-7,195,2,23
1630560,Cam Thomas,Nets,Guard,6-3,210,3,24
1641708,Amen Thompson,Rockets,Guard-Forward,6-7,200,1,22
1641709,Ausar Thompson,Pistons,Guard-Forward,6-6,205,1,22
1630679,Ethan Thompson,Magic,Guard,6-5,195,0,26
202691,Klay Thompson,Mavericks,Guard,6-5,220,11,35
202684,Tristan Thompson,Cavaliers,Center-Forward,6-9,254,13,34
1630550,JT Thor,Wizards,Forward,6-9,203,3,23
1629680,Matisse Thybulle,Trail Blazers,Guard-Forward,6-5,201,5,28
1630214,Xavier Tillman,Celtics,Forward,6-7,245,4,26
1631166,Drew Timme,Nets,Forward,6-10,235,0,25
1641772,Nae'Qwan Tomlin,Cavaliers,Forward,6-10,210,0,25
1642260,Nikola Topić,Thunder,Guard,6-6,200,0,20
1631210,Jacob Toppin,Hawks,Forward,6-8,200,1,25
1630167,Obi Toppin,Pacers,Forward,6-9,220,4,27
1626157,Karl-Anthony Towns,Knicks,Center-Forward,7-0,248,9,30
1631247,Luke Travers,Cavaliers,Forward,6-7,207,0,24
1629018,Gary Trent Jr.,Bucks,Guard,6-5,204,6,26
1631131,Oscar Tshiebwe,Jazz,Forward-Center,6-8,255,1,26
200782,P.J. Tucker,Knicks,Forward,6-5,245,13,40
1626167,Myles Turner,Pacers,Center-Forward,6-11,250,9,29
1641816,Hunter Tyson,Nuggets,Forward,6-8,215,1,25
1642281,Jaylon Tyson,Cavaliers,Guard-Forward,6-6,215,0,23
1630649,Stanley Umude,Bucks,Guard,6-6,210,2,26
202685,Jonas Valančiūnas,Kings,Center,6-11,265,12,33
1627832,Fred VanVleet,Rockets,Guard,6-0,197,8,31
1629020,Jarred Vanderbilt,Lakers,Forward,6-8,214,6,26
1630170,Devin Vassell,Spurs,Guard-Forward,6-5,200,4,25
1629216,Gabe Vincent,Lakers,Guard,6-2,200,5,29
1641774,Tristan Vukcevic,Wizards,Forward,7-0,220,1,22
202696,Nikola Vučević,Bulls,Center,6-10,260,13,35
1629731,Dean Wade,Cavaliers,Forward-Center,6-9,228,5,29
1630532,Franz Wagner,Magic,Forward,6-10,220,3,24
1629021,Moritz Wagner,Magic,Forward-Center,6-11,245,6,28
1631133,Jabari Walker,Trail Blazers,Forward,6-7,237,2,23
1641716,Jarace Walker,Pacers,Forward,6-7,235,1,22
1629022,Lonnie Walker IV,76ers,Guard-Forward,6-4,204,6,27
1641717,Cason Wallace,Thunder,Guard,6-3,195,1,22
1630811,Keaton Wallace,Hawks,Guard,6-3,185,0,26
1641775,Jordan Walsh,Celtics,Guard,6-6,205,1,21
1642266,Ja'Kobe Walter,Raptors,Guard,6-5,180,0,21
1642276,Kel'el Ware,Heat,Center,7-0,230,0,21
1629023,P.J. Washington,Mavericks,Forward,6-6,230,5,27
1631102,TyTy Washington Jr.,Suns,Guard,6-3,195,2,24
1630322,Lindy Waters III,Pistons,Forward,6-6,210,3,28
1630570,Trendon Watford,Nets,Guard-Forward,6-8,237,3,25
1641817,Anton Watson,Knicks,Forward,6-8,225,0,25
1631212,Peyton Watson,Nuggets,Guard,6-7,200,2,23
1642377,Jaylen Wells,Grizzlies,Forward,6-8,,0,22
1641705,Victor Wembanyama,Spurs,Forward-Center,7-3,235,1,21
